Number of Queries,Regret
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
98,[0.]
